time,eta_pp
0.5,0.27698539639102
0.775,0.27318310608025
1.0775,0.2686723299595
1.41025,0.26340731138465
1.776275,0.25741411297327
2.1056975,0.25193394373244
2.40217775,0.24698277711522
2.728306025,0.2415557521397
3.0870471275,0.23561827652336
3.48166234025,0.22915642615571
3.836816031725,0.2234150423099
4.1564543540525,0.21830249136063
4.4441288441472,0.21373924083243
4.7030358852325,0.20965887151782
4.9360522222093,0.20601505420103
5.1923701928837,0.20203767272209
5.4743199606256,0.19769958429085
5.7844647051416,0.19298413453265
6.0635949752061,0.18878136995212
6.3148122182641,0.18502643517455
6.5409077370163,0.18167412148629
6.7443937038932,0.17868286454586
6.9682282674579,0.17541744469823
7.2144462873791,0.17184774553067
7.4360425053081,0.16866593853417
7.6354791014442,0.16582265420697
7.8149720379667,0.16327947312764
7.976515680837,0.16100356159719
8.1542136879943,0.15851538191994
8.3496814958673,0.15579765999803
8.5646960845276,0.15283196908866
8.801212132054,0.14959272356453
9.0140765748277,0.14670634200317
9.2056545733241,0.14412816717095
9.3780747719708,0.14182298007361
9.5677369904822,0.13930502790167
9.7763654308447,0.13655758040474
10.005856715243,0.13355772136396
10.212398871202,0.13088480457283
10.398286811565,0.12849782501753
10.602763545965,0.12589322536511
10.827687953804,0.12305445552037
11.075104802427,0.11995671842628
11.297779966188,0.11720134297118
11.498187613573,0.11474325727959
11.678554496219,0.1125478193959
11.87695806713,0.11015264554917
12.095201995132,0.1075428802317
12.335270315934,0.10469681267727
12.599345468817,0.10160072167065
