time,eta_left_pp,eta_pp,eta_right_pp
0.25,0.28304608037433,0.28304609410382,0.28304610783331
0.525,0.28272686900066,0.28272696863746,0.28272706827426
0.8275,0.2823007886496,0.28230128842621,0.28230178820282
1.16025,0.2817605530711,0.28176314957272,0.28176574607433
1.526275,0.28110356014482,0.28111379471319,0.28112402928156
1.8556975,0.28046463379537,0.28049209632422,0.28051955885307
2.15217775,0.2798497815411,0.27990727761141,0.27996477368171
2.478306025,0.27912285871079,0.27923964031451,0.27935642191823
2.8370471275,0.27823697422534,0.27846426716098,0.27869156009663
3.23166234025,0.27711061475245,0.27753653516506,0.27796245557768
3.4487007072625,0.27641148553871,0.27698807288474,0.27756466023077
3.6440352375738,0.27572676095737,0.27646814576857,0.27720953057977
3.8198363148539,0.27506054735751,0.27597651492287,0.27689248248823
4.013217499862,0.27426919691646,0.27540816223111,0.27654712754576
4.225936803371,0.27331808795927,0.27474389835457,0.27616970874987
4.3429324203009,0.27275807315453,0.27436074001942,0.27596340688431
4.4482284755378,0.27223104859472,0.27400479480683,0.27577854101893
4.5429949252511,0.27173761627954,0.27367521194844,0.27561280761733
4.628284729993,0.27127780982073,0.27337098851526,0.27546416720978
4.7050455542607,0.27085182009696,0.27309138645201,0.27533095280706
4.7741302961016,0.27045733277882,0.27283431353592,0.27521129429302
4.8501235121267,0.27001151897659,0.27254575391839,0.27507998886019
4.9337160497542,0.26950681737811,0.27222139059084,0.27493596380358
5.008949333619,0.2690398297582,0.27192327393157,0.27480671810494
5.0766592890973,0.26860916518267,0.27164993364602,0.27469070210937
5.1375982490278,0.26821319784739,0.27139986607812,0.27458653430885
5.2046311049514,0.26776837111646,0.2711202916584,0.27447221220033
5.2783672464673,0.2672678926421,0.27080733364774,0.27434677465337
5.3594770021347,0.26670460229675,0.27045693319014,0.27420926408354
5.4486977333689,0.2660681344875,0.2700632602854,0.2740583860833
5.5289963914797,0.26548069818374,0.26970183893356,0.27392297968339
5.6012651837795,0.26494091136732,0.2693712057317,0.27380150009609
5.6663070968492,0.26444537152102,0.2690688801256,0.27369238873019
5.724844818612,0.2639917268789,0.2687930569761,0.2735943870733
5.789236312551,0.26348444307017,0.26848562543409,0.27348680779801
5.860066955884,0.26291660550124,0.26814267400335,0.27336874250546
5.9238145348837,0.2623967945797,0.26782975999767,0.27326272541564
5.9811873559833,0.2619219496382,0.26754472771899,0.27316750579977
6.0328228949731,0.26148894925454,0.26728545760644,0.27308196595833
6.0896219878618,0.26100648317777,0.26699726212125,0.27298804106473
